ID,name,reel_link
69,"Shivara Thindi
",https://www.instagram.com/bheemasena__nalamaharaja/reel/Czd0ciyPm_q/
70,"Mr.Manchurian
",https://www.instagram.com/reel/Czk-uvirakd/?igsh=MTMxeWlnMHVocmV1OA%3D%3D
71,"Brahmin Cafe
",https://www.instagram.com/reel/CwpgxSIv0XP/?igsh=d2RraTYybWRrYncw
72,Echakh Danah,https://www.instagram.com/reel/CzWEM7hvLN-/?igsh=eDlzOWdzNWY0enI1
73,Ballary famous Cycle Khova,https://www.instagram.com/reel/CwO6rA3Rzmg/?igsh=MXhpaGt0N2Iybnd3ZA%3D%3D
74,"Nothing Before Coffee
",https://www.instagram.com/reel/Cx2IILho0hb/?igsh=dzIxdmMydjJ6Y3Vi
75,Sri Ganesh Refreshments,https://www.instagram.com/reel/CyBJL_4Riu-/?igsh=eWtnYTg5cm4wcW14
76,Cafe Mondo,https://www.instagram.com/reel/Cy2s4IyPdRP/?igsh=Zjg5dnpxdjM4MWc4
77,Masaledaar Desi Rasoi,https://www.instagram.com/reel/CzDd71rPgK0/?igsh=M2wyOGRmZXYweml3
78,Basaveshwara Chats,https://www.instagram.com/reel/CujR7sHNoVG/?igsh=bTl4b2hlNDUzZnpu
79,"SSD Shashi Thatte Idly
",https://www.instagram.com/reel/CyLZdaUI44a/?igsh=MWl3MTJ6M3Y5NnozZA%3D%3D
80,Tirupati Naivedyam,https://www.instagram.com/reel/CyxFDfrPiuK/?igsh=MWUxNWttNW94NzdpMA%3D%3D
81,"Biggies Burger
",https://www.instagram.com/reel/CyFFk5YvfuP/?igsh=cDVrOXB0MmRjYXRt
82,Klayworkz Barista,https://www.instagram.com/reel/Clxp0yoqdRY/?igsh=MTJ6ZnlneTgxOGp6aQ%3D%3D
83,"India Sweet House
",https://www.instagram.com/reel/CgHEF0Kj58F/?igsh=MXN6dmprNHA2cjM4cg%3D%3D
84,Theobroma Bakery and Cakes,https://www.instagram.com/reel/CyS-S7nxpCy/?igsh=aGc0NjdkdW5uMDIx
85,Cafe Petriqor,https://www.instagram.com/reel/CjkSakPjE5F/?igsh=dnd5d3Foc3E5c3U5
86,Naivedyam Veg,https://www.instagram.com/reel/CxzR1IwvnOw/?igsh=ZzM1YWdvcTMxMzMz
87,Gufha,https://www.instagram.com/reel/CyDspvLM0-u/?igsh=ZXIzdG1yOXVxNzdq
88,"Puliyogare Corner
",https://www.instagram.com/reel/CyFHlTYvjxw/?igsh=eXg5NDRqa3J5dGEw
89,Banarasiya Cafe,https://www.instagram.com/savoringliife_vibes/reel/Cya7qZfrI2U/
